,Rating,Title,Review,Review_Date
3125,5,Great product,Perfect smartphoneSatisfied with the purchase,31 August 2022
3126,5,Colour is osm,I like this camera battery backup,30 August 2022
3127,5,Good,Good,04 September 2022
3128,5,Best smartphone in its category,Quality product,04 September 2022
3129,5,Unique feel when gaming,I like this phone.I used to play games in this phone17 matches non stopThank you OnePlus team,15 August 2022
3130,4,Good,Osm,  10 June 2022
3131,3,Good mobile and good at that price..,Good mobile with good sound quality and camera 📷 .Back side finishing  looks good and precious.,  25 July 2022
3132,2,It's not good as compared to Samsung same range mobile,"May be expected camera better than Samsung M30s my old phone but unhappy with One plus, only charging found very very fast,",  5 November 2022
3133,5,Good quality,Good quality,  3 September 2022
3134,4,All features are superb but battery life is not better,Battery back is not good,  7 June 2022
3135,5,Best option for MI and VIVO phones,Best in smartphones,  3 September 2022
3136,4,Excellent Phone,"Excellent phone, fast charging and good speed.",  1 June 2022
3137,4,Brand in only 25k ...what else you want ...,Using this mob for month and the experience is good .. feels premium back looks very premium ...camera quality is great .... Worth for 25 k .. battery life is excellent... Daily only need to charge for 25 to 30 mins ... Overall good... Has many great features.,  4 April 2022
3138,5,So sad,Soo sad to buy the phone,  30 August 2022
3139,5,Fingerprint senser is not work..,"The media could not be loaded.
                



 Fingerprint senser is not work on this mobile....",  8 September 2022
3140,5,Love it,😃👍 batter is not that bad as PPL are complaining. Yes camara is above average. I like my new phone does not lag at all,09 August 2022
3141,4,Best for day to day usage,"A good phone to be handled with one hand wrt size, slim one, light phonePeople are complaining about speaker...But I don't see that until you need woofers!!!",09 May 2022
3142,3,OnePlus nord ce2 lite,Camera clarity is not much as I expected rest all good budget phone,26 July 2022
3143,5,Amazing product,Totally worth it product amazing phone,30 August 2022
3144,2,Don't purchase this mobile,"Don't buy this phone, it's not very good. It's been 4 months since I got this phone. It's the worst mobile phone. The mobile heats up. If you charge it, the network doesn't work properly. Signals show problems.",17 October 2022
3145,4,Best in look and display,Every thing is awesome except battery......draining fast compare to other mobile in this range....,22 May 2022
3146,5,Ok ok,Basick mobile,02 September 2022
3147,5,Very nice 📱🤳,Nice quality 📸📸,01 September 2022
3148,5,This phone is a very nice pick in this budget if you are not gaming heavily.,"Camera is really good, Charging is super fast and processing of phone is real quick.",23 August 2022
3149,4,One plus Nord CE 2 5G,Camera is not so quality need improvement..,31 May 2022
3150,4,I like this Phone.,Overall better phone in this price segment.,  31 May 2022
3151,5,It's amazing one plus phone in this range..,Display is amazing and a body,  29 August 2022
3152,5,best budget phone under rs 25k,best phone in this price range ❤️,  29 August 2022
3153,5,Bad Camera,Bad Camera,  2 September 2022
3154,4,Average Product,"After thorough usage of 3 days, I feel to classify  the phone in average category. Performance is okay with minor flaws.",  23 May 2022
3155,4,Camera,Camera use no OnePlus feel,  3 June 2022
3156,5,Best Choice,This is my second OnePlus phone after Nord 5G. Superb performance.,  25 August 2022
3157,5,I just like this device and so beautiful model and osm this pic,Same information is likely this device thankyou,  28 August 2022
3158,4,The phone looks good and run smooth but I’m not satisfied With the camera quality.,"The media could not be loaded.
                



 The phone looks good and run smooth but I’m not satisfied With the camera quality.",  23 May 2022
3159,4,"Money worthy, Go for it if you want to use long term.",I liked Fingerprint by side if it is more accurate ultimate performance.Good experience on this mobile.Battery life is good.Picture quality ok.,  16 May 2022
3160,4,Good,Good,11 June 2022
3161,4,Good,All,10 June 2022
3162,5,Very good phone,The media could not be loaded.,17 September 2022
3163,4,good,good,09 June 2022
3164,5,Mobile Is Good,"This mobile is very good and battery is also very good, speaker is good,",23 August 2022
3165,4,OnePlus comes in Budget and works great,"Pros: Camera, Fingerprint reader, BatteryCons: Sound quality",27 May 2022
3166,5,Perfect,Perfect,14 September 2022
3167,5,Worthy buy,One of the best phones in this price range.,29 August 2022
3168,5,"Best mobile phone, I ❤ Amazon",All are good,01 September 2022
3169,5,"Best mobile phone, I ❤ Amazon",All are good,01 September 2022
3170,4,Good,,  7 June 2022
3171,4,"Awesome mobile, camera clarity superb, battery life and charging time are excellent",I like so much this phone; all the specifications are working effectively,  24 May 2022
3172,4,Battery heating problem,Battery heating problem,  6 June 2022
3173,5,It's just fabulous... 🤩,"I liked it most...All fingerprint reader, battery backup, camera, touch response, design are away some...Only single thing that one plus can give a support of higher version of Android than existing in this phone...",  30 July 2022
3174,4,Out standing mobile excellent 👍,Battery backup super out standing charging speed with in 1hour  battery Full 100%,  21 May 2022
3175,5,10-Oct,Excellent phone in this budget..,  31 August 2022
3176,2,Poor user experience and a camera,"I recently purchased this phone. I imagined a One Plus phone with a mid-range price. It has to be a good phone. I've been using it for about a month. In comparison to my previous phone Samsung M30,  I am having a very bad experience with the camera of one plus nod ce2 and  The shutterspeed is extremely slow. If you need to take a photo, this phone  needs a trypod, otherwise the photo will be blurry or shaken. And while the phone is locked, you can easily enable hotspot features. very bad experience",  2 October 2022
3177,5,Superb,Superb,  2 September 2022
3178,5,One plus nord ce,The product is very nice,  30 August 2022
3179,4,Budget phone with Average features,"pros- Budget phone, Fast Charging, Good performance, Premium look, decent battery life will last a day easily after normal use.cons. Average camera, Pictures taken in night are below average. no alert slider which is very useful feature. 256GB storage is not available.",  14 April 2022
3180,5,Sprb,Awesome,  2 September 2022
3181,4,Works awesome.....but heating issue with phone and charger while charging,Just heating issue with phone and charger while charging...rest all is well,  22 May 2022
3182,5,Very best product,This product is very  best  because mobile working best performance,  24 August 2022
3183,4,Best Admroid can provide,"Swtiched from Apple after 15 years, Really happy that I dnt have to charge my phone 3 times a day. Battery life if way too good. Only problem is the the mirror at back of phone is very delicate, should have been scratch proof",  8 April 2022
3184,5,Good phone,The phone is simply awosem!! If you want a smooth and fast phone under this budget then go for it!!,  13 August 2022
3185,5,Nice phone,Thanks,  2 September 2022
3186,4,Good to purchase,Good,  7 June 2022
3187,4,Not as i expected,Not as i expected,  3 June 2022
3188,5,Ok,I like,  1 September 2022
3189,5,Awsome,The media could not be loaded.,  18 September 2022
3190,5,Awesome result,Nice,  2 September 2022
3191,5,Sexy Phone,,  1 September 2022
3192,4,Battery drains fast,Battery drains fast,  4 June 2022
